,review_id,compound_unclean
150,R2YMXF378Y8F4A,0.6115
151,REU14VXUS7CGL,0.0
152,RET70WLZ98W1N,0.9916
153,RC7Y30OR77HQK,0.7346
154,R38UTIHXDTJLZC,0.4754
155,RNFBX2GNO7UDW,0.6908
156,R3LPHRFYN1YARG,0.6588
157,R3L9W316F5XNCK,-0.0387
158,R2JYDRY6S8XCW9,0.6956
159,R1YZHE6E5J8WBB,0.7705
160,R15VV70DD5Y32T,-0.5423
161,R1GUQ9D9ROKIA9,0.4404
162,R3NR7YX26QU15N,0.6249
163,R163LW970AY27D,0.7579
164,R3I90C5MG6JQSH,0.3065
165,R2HYWHBN8MWANW,0.0
166,R29YECPAW0J2XW,-0.8645
167,RC1V9WJOMJ17E,0.6588
168,R1KA167MA5TX0B,0.0
169,RIH1YQOP3DBXC,-0.296
170,R189SLGHXGGHE0,0.9482
171,R1T6P3VLB0KK58,0.3818
172,RICLDNUBRB4ZZ,0.8155
173,R12TRBRT2TGCTJ,0.7845
174,R2X69W4OFW9TF0,-0.4404
175,RWN0SBTAQZ2EI,0.6588
176,RZWZLCI38F3WA,-0.6395
177,R18RK4AMZPKAT3,0.4404
178,R1L8UQWDQ97S4Q,-0.2057
179,RR94LC4GJ50O1,-0.7929
180,R1LZARCZY8L7MS,0.6115
181,R1H2HJ1HNCK65T,-0.9454
182,R2XK3M2NFIM2FO,0.6369
183,R2X6QIO45VVIJS,0.6588
184,R1RWUZNR4OCN0L,0.8787
185,R2H26J3O0ED2Y6,0.6249
186,R28SDES59I6W9Z,0.7717
187,RBBLEFG4QUYJM,0.4927
188,RLL0U047K7JS3,0.8588
189,R2T2GA18YO2XDA,-0.8016
190,R272H0JXKQ9X3J,0.6943
191,R1TLN21I325FS5,-0.3384
192,RPOYPOP5E2VQ6,0.9702
193,R3VHNN6DJZM9XB,0.9924
194,R2ZLYJVWQC7AAO,0.2023
195,R22DA3Q27Z30AI,-0.1136
196,R31XQA3VURA579,-0.4404
197,R1541OS04QRJ5C,0.9295
198,R3NYX8QMSUHDZP,-0.2584
199,R2570ZHCI4D5R9,0.6746
200,R2PATR8EL5FJC7,0.8172
201,R1061QYUBNR3EC,0.6915
202,R2K57TO4G9FC9C,0.8519
203,RY5ROV01NTKD3,0.836
204,R1R0UN7M77DW5A,0.4939
205,RNUQ2JDMH8QHV,0.4927
206,RK5D50840CCAE,0.0
207,R23HJ4TLYTCUER,-0.794
208,R122I01R3SG3YQ,0.7579
209,R10J20RIZIRYPC,0.7598
210,R20U165C43HAQA,0.0
211,R300ZT6T6O9XBW,0.7574
212,R1BC3E2QS68XXX,0.0
213,R3N3RL34MMGNJG,-0.9521
214,R1QJVNDARZR0P3,-0.6808
215,R2A0554RLEXC1L,0.906
216,R3O9NNGYOCY2Z4,0.126
217,RWPICUU5Y75N8,0.6249
218,R1OBGOWZEHPYK2,0.7579
219,R2ZNL13RMQRWH6,0.3506
220,R3KXSH8GS72ZHR,0.2732
221,R205I5IVIPNKWB,0.6249
222,RJGT5P2IVO09N,0.8689
223,R109GLOGRQ2E5D,-0.4817
224,R3O8C1BJYKZ6Z5,0.7957
225,R8B773YIDRE9Z,0.6588
226,R3FKOBEPUG4D57,0.8957
227,RA40MJPJ5L90J,0.9299
228,R16LCB3C22CDEE,0.4754
229,R1D9P6NZGXRTZH,0.8817
230,R29H2P36FDDCQZ,0.8743
231,R6K84574GQB7A,0.6369
232,RNHJCWGCXCYIE,0.7171
233,RCHSF6V062F0K,0.4404
234,R3LLUXQC656K33,0.6892
235,R3UMLQR0WFBJ11,0.0
236,R2KLJXKH63Q79X,0.9243
237,RA7TKH17IQK12,-0.5719
238,R22JV9UGDBU4T4,0.8074
239,RP2MT8N1SZ89T,0.9061
240,RGDMD4BTMC6F0,0.0
241,R3QIBYTTC1BM0J,0.4404
242,R3KM1U52ML5ABN,-0.8225
243,R6ITZ4QZ7PPYN,0.6369
244,R1TZD1QDCSTKZ5,-0.476
245,R53D680LOUMGG,0.7906
246,R2BTTPYBP2WRIN,-0.5256
247,R2WGYPT425ZGI9,0.6374
248,R2U5A8P7ZZO75F,-0.7257
249,R3PO0FS6U9AYH7,0.0
250,R2HS70FXJIHJXV,0.8128
251,REKMNME7NFLP7,0.8439
252,R3AYE2KD858HU2,0.0
253,RK5MFV1Q3CD08,0.4389
254,RYAK6FMQP5OIZ,0.2023
255,R37QDZDVNK1DDR,0.8832
256,R2DOL1YP03DBIP,-0.7096
257,R30L5ZFH38L1TP,0.8681
258,RY5ICOYO22ZKI,0.0
259,RTWQDLKBEHP2G,0.7906
260,R3J1816Y5MLS2I,0.4404
261,R1J29IXQRJ03ZV,0.9442
262,R1BERN7QTAHPSW,0.5423
263,R3PM6B8RRH94P4,0.9476
264,RV4OR1L3WDVZ9,0.8707
265,R2WU5EROQI8HNF,0.128
266,R24KITNGJ7X38R,0.6633
267,R353RGEUI9DIJ2,0.8519
268,RHXIQ5HR7R8D7,0.9457
269,R3SY8YT8TX0HD4,0.8655
270,R13TGI03PCF3W6,0.7269
271,R22IK2YT8XQ2JK,0.9473
272,R3C8ESDX6W9W3Y,-0.4389
273,RV9OLDPTXJN14,0.9465
274,R2L1B4BKDA89EA,-0.8225
275,R20BVQVU5U21I8,0.3612
276,R1EZTMPMRTJUO2,0.2232
277,RKIU8M23KE4O3,0.2419
278,R1NRJ47IB2OOB5,0.6114
279,R9BQALBELRTWH,-0.8998
280,RXJOERQY6NIH5,0.128
281,R1ZO5T5N9H5ROB,0.4404
282,R3F8SDZZ42Q34W,0.8677
283,R3UYZQN5HCQV71,0.1759
284,RV0ZPTTHTD0O1,-0.9582
