,review_id,compound_unclean
133,R3U9MSW3FCB3KK,-0.6808
134,R2QP950SX68QYZ,0.9571
135,R207XVWE53FV0O,0.4939
136,R3H4UAA6ZKS3NB,0.6588
137,R1T0RWN3BW405D,0.8
138,R1NM7MWCXHF2R9,0.6524
139,RJ4C4FY7HHY9H,0.4939
140,R3SKWR23KH1QPA,0.6696
141,R1VFE2X5RAPWZ,0.2732
142,R1MLIC8RWA5SQU,0.0
143,R1ZRF2TKBU3QHG,0.4215
144,R2UBE6B90YYGJ6,0.9085
145,R36J7XQGK773PO,0.7568
146,RZPYFNFRDVJC2,0.3818
147,R3DJXEPP8M7OV1,0.9075
148,R210GWU074SB0R,0.7351
149,R3RI44VDBL7VV2,0.7371
150,R1L1XEPY4VKLQS,0.6369
151,R1M07XWDQ6WX7P,-0.3404
152,R1ZIYV52FN6JR3,-0.1531
153,R3QRN258JRPJKZ,0.7419
154,RRMBIV919OM0G,0.0
155,R22VIDOXE2PYLS,0.0
156,R2D99YJ18OUBRU,0.4926
157,R1W7BTEX3JEZMH,0.836
158,R2U055A6I1X225,0.3174
159,R3F1WC765VILDD,0.0
160,R2K6WNOJGM7LB4,0.6249
161,R1MCHN8CAET370,0.6474
162,R11O7ENEWWLLH3,0.3975
163,RB2LW61J0SOH7,-0.6811
164,R9SCI80QUSW9K,0.8336
165,R1JV41KM7KTIDP,0.5023
166,RGAFV01913DK8,0.4404
167,R1TAYGEI12BB2P,0.6549
168,R2JCLV2VBASA0D,0.4404
169,R1YVIVFA1H4AH6,0.7184
170,R347OYE5NGYX2R,0.4753
171,RHXHE5PZ138KX,-0.3612
172,R3M0WYRHB0X911,0.9732
173,R38XQFY2FM50T6,0.5707
174,RPQX8U7TZ2JPB,0.7435
175,R24K26HS4HRTZI,0.8151
176,R2J8G406040BNS,0.8062
177,R2VG5HFLMOI9SN,0.0516
178,R3NY2QGY1RPPQG,0.9705
179,R239WG6NZNVP7J,-0.5684
180,R3MJ1HRSNHKFLJ,0.9777
